epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,42.7625,1.05722,0.95451,0.98575,0.96946,0.48078,0.49574,0.28731,1.50566,1.09935,1.3977,0.000990365,0.000990365,0.000990365
43,43.7576,1.11298,0.97352,1.00344,1,0.48785,0.4975,0.26918,1.53816,0.99335,1.43616,0.000973861,0.000973861,0.000973861
44,44.7531,1.01949,0.8775,0.98676,1,0.49405,0.4975,0.28663,1.52557,0.96853,1.40445,0.000957358,0.000957358,0.000957358
45,45.6957,1.13387,0.96626,1.09302,1,0.49405,0.4975,0.28663,1.52557,0.96853,1.40445,0.000940855,0.000940855,0.000940855
46,46.6664,1.00273,0.86718,0.97821,1,0.49759,0.4975,0.2892,1.50269,0.92032,1.38009,0.000924352,0.000924352,0.000924352
47,47.6483,1.08488,0.88604,1.06739,1,0.49797,0.4975,0.27925,1.60006,0.96505,1.38548,0.000907848,0.000907848,0.000907848
48,48.6274,1.01603,0.94605,0.98536,0.99741,0.5,0.4975,0.27957,1.60436,0.94338,1.37575,0.000891345,0.000891345,0.000891345
49,49.5577,1.08527,0.94283,0.97081,0.99741,0.5,0.4975,0.27957,1.60436,0.94338,1.37575,0.000874842,0.000874842,0.000874842
50,50.5508,1.03967,0.91804,0.9621,0.99386,0.5,0.4975,0.29861,1.56777,0.89747,1.35295,0.000858338,0.000858338,0.000858338
51,51.5384,0.94073,0.91054,0.95071,0.99223,0.5,0.4975,0.29689,1.52575,0.88868,1.32963,0.000841835,0.000841835,0.000841835
52,52.5542,0.92671,0.81891,0.96071,0.99631,0.5,0.4975,0.31309,1.49238,0.85289,1.31674,0.000825332,0.000825332,0.000825332
53,53.5084,0.87907,0.85484,0.93301,0.99631,0.5,0.4975,0.31309,1.49238,0.85289,1.31674,0.000808828,0.000808828,0.000808828
54,54.5045,0.96409,0.76977,0.95479,1,0.49704,0.4975,0.30055,1.48251,0.8515,1.32653,0.000792325,0.000792325,0.000792325
55,55.4904,1.04422,0.90638,0.95967,1,0.49496,0.4975,0.30482,1.48294,0.85338,1.31759,0.000775822,0.000775822,0.000775822
56,56.4984,0.92467,0.86298,0.9219,1,0.49606,0.4975,0.29479,1.50906,0.8382,1.33074,0.000759318,0.000759318,0.000759318
57,57.4217,0.92687,1.08139,0.99165,1,0.49606,0.4975,0.29479,1.50906,0.8382,1.33074,0.000742815,0.000742815,0.000742815
58,58.3998,0.87754,0.80044,0.92441,1,0.49825,0.4975,0.30628,1.46306,0.83085,1.31012,0.000726312,0.000726312,0.000726312
59,59.4051,0.95154,0.82486,0.94411,0.99973,0.5,0.4975,0.30156,1.4672,0.79179,1.31297,0.000709809,0.000709809,0.000709809
60,60.3932,0.90225,0.80894,0.9001,0.99436,0.46875,0.49276,0.28683,1.46734,0.81987,1.33842,0.000693305,0.000693305,0.000693305
61,61.3151,0.87194,0.76617,0.92946,0.99436,0.46875,0.49276,0.28683,1.46734,0.81987,1.33842,0.000676802,0.000676802,0.000676802
62,62.303,1.01741,0.87851,0.98758,0.99471,0.46875,0.49276,0.28801,1.45698,0.83161,1.34553,0.000660299,0.000660299,0.000660299
