frame,Antonsen_distance,Chou_distance
1,0.0,0.0
2,0.03286868706345558,0.028871478512883186
3,0.11476454511284828,0.1352937612682581
4,0.2144409529864788,0.1758959237486124
5,0.35540739819407463,0.2743386570364237
6,0.4280696250498295,0.34920225478708744
7,0.4659337215125561,0.44099525548517704
8,0.4926397502422333,0.506673464551568
9,0.5599837154150009,0.5238946117460728
10,0.5966050066053867,0.6007565818727016
11,0.6096615893766284,0.650421466678381
12,0.6137425471097231,0.7018073946237564
13,0.638842985033989,0.7225574310868979
14,0.6698285434395075,0.7408316135406494
15,0.7100555095821619,0.7852756530046463
16,0.7305249013006687,0.8288312740623951
17,0.7718690037727356,0.8573108743876219
18,0.8218076452612877,0.9035168122500181
19,0.8656187281012535,0.928726565092802
20,0.9315924569964409,0.9323156559839845
21,0.9710732400417328,1.094561585225165
22,1.012033499777317,1.2072419906035066
23,1.1353873014450073,1.2988265315070748
24,1.2027898356318474,1.3365038754418492
25,1.2733805924654007,1.3711965726688504
26,1.307695645838976,1.4050428913906217
27,1.367579773068428,1.4367564553394914
28,1.4168488942086697,1.537935541011393
29,1.4867644496262074,1.9527774611487985
30,1.4933954942971468,2.1824349323287606
31,1.5155650023370981,2.3372154543176293
32,1.548671318218112,2.6703820833936334
33,1.5984115060418844,3.2379571804776788
34,1.6315548960119486,3.6242724070325494
35,1.6794558633118868,3.9835626492276788
36,1.7485511396080256,4.2080757627263665
37,1.777322918176651,4.85066217277199
38,1.8287059888243675,5.10586077068001
39,1.854704074561596,5.2093836003914475
40,1.8874067477881908,5.3403524691239
41,2.009017053991556,5.546798073686659
42,2.0761630944907665,5.7313104355707765
43,2.1095099709928036,5.848093637265265
44,2.161775551736355,5.862292707897723
45,2.335880197584629,5.927606971003115
46,2.4283045679330826,5.9722042279317975
47,2.5125946924090385,6.003469687886536
48,2.592057354748249,6.03837960306555
49,2.7653241083025932,6.158109017647803
50,2.902710236608982,6.2728001633659005
51,2.9988686218857765,6.4193552592769265
52,3.0187428761273623,6.67450185213238
53,3.180284844711423,7.041399226523936
54,3.292867610231042,7.593124256469309
55,3.4632256273180246,7.73049730155617
56,3.5750426594167948,7.7654535146430135
57,4.065522337332368,8.045717355795205
58,4.290342712774873,8.254518237896264
59,4.393803486600518,8.46147243399173
60,4.426697904244065,8.488912352360785
61,4.50872122682631,8.622019776143134
62,4.576838517561555,8.65391016099602
63,4.595587834715843,8.697609064169228
64,4.658789969980717,8.711026683449745
65,4.741469606757164,8.886179149150848
66,4.81232713162899,9.041433230042458
67,4.842428434640169,9.080612476915121
68,4.898435976356268,9.118860423564911
69,4.96813702955842,9.236751325428486
70,5.009382899850607,9.353089280426502
71,5.028956646099687,9.424237072467804
72,5.113093974068761,9.435042492114007
73,5.244048418477178,9.470895974896848
74,5.345938140526414,9.506186402402818
75,5.419762777164578,9.57759170141071
76,5.508057313039899,9.658227919600904
77,5.601628178730607,10.118419139645994
78,5.710502887144685,10.314878075383604
79,5.794577622786164,10.435586421750486
80,5.868619466200471,10.489560357294977
81,6.043699124827981,10.621097243390977
82,6.115528227761388,10.743469229899347
83,6.216856034472585,10.879360816441476
84,6.338610412552953,10.97722194250673
85,6.417954551056027,11.183260194025934
86,6.5985568929463625,11.278616628609598
87,6.727058025076985,11.355009510181844
88,6.732857369352132,11.45080482121557
89,6.811880752909929,11.643146864138544
90,6.8717909646220505,11.847480467520654
91,6.984556053299457,12.217543027363718
92,7.060412858147174,12.516300580464303
93,7.15365206124261,12.82243990059942
94,7.1978133474476635,12.9161746641621
95,7.226275112945586,12.969939447008073
96,7.239881296176463,13.043219498358667
97,7.256724467966706,13.204576558433473
98,7.273177065420896,13.28017373289913
99,7.325352404732257,13.3536968966946
100,7.397911321837455,13.416643789969385
101,7.499879252631217,13.556396326981485
102,7.554507229942828,13.73731969948858
103,7.585272655356675,13.797162304632366
104,7.591742839664221,13.861272956244648
105,7.603212824091315,13.987160692922771
106,7.6202065628021955,14.08852745871991
107,7.639406502246857,14.118340362794697
108,7.692722726613283,14.135565622709692
109,7.762439761310816,14.281357525847852
110,7.786782342940569,14.497288837097585
